Group,sowndiv_ci_lower,sowndiv_ci_upper,sowndiv_mean,sowndiv_qntl_lower,sowndiv_qntl_upper,sowndiv_sd,numfg_ci_lower,numfg_ci_upper,numfg_mean,numfg_qntl_lower,numfg_qntl_upper,numfg_sd,leg.ef_ci_lower,leg.ef_ci_upper,leg.ef_mean,leg.ef_qntl_lower,leg.ef_qntl_upper,leg.ef_sd,gr.ef_ci_lower,gr.ef_ci_upper,gr.ef_mean,gr.ef_qntl_lower,gr.ef_qntl_upper,gr.ef_sd,sh.ef_ci_lower,sh.ef_ci_upper,sh.ef_mean,sh.ef_qntl_lower,sh.ef_qntl_upper,sh.ef_sd,th.ef_ci_lower,th.ef_ci_upper,th.ef_mean,th.ef_qntl_lower,th.ef_qntl_upper,th.ef_sd
Plants,NA,NA,0.4538219666907929,0.4538219666907929,0.4538219666907929,NA,NA,NA,0.00924937279705226,0.00924937279705226,0.00924937279705226,NA,NA,NA,-0.2503299985301041,-0.2503299985301041,-0.2503299985301041,NA,NA,NA,0.18384404067463345,0.18384404067463345,0.18384404067463345,NA,NA,NA,0.07478589763061261,0.07478589763061261,0.07478589763061261,NA,NA,NA,0.01985033921397823,0.01985033921397823,0.01985033921397823,NA
Detritus,-0.6681877449628897,0.8285388097751416,0.08017553240612593,0.027167811877699687,0.13318325293455216,0.08329359697975902,-1.2206914858317686,1.3415474062043504,0.060427960186290985,-0.030315698156756908,0.15117161852933889,0.14258990258676535,-2.011389991662657,2.2723204894980507,0.1304652489176966,-0.021245647966738425,0.28217614580213163,0.23839067548194903,-1.0831630840034912,0.7867566320973072,-0.14820322595309204,-0.21442786893005455,-0.08197858297612955,0.10406198695704058,-0.5023093123446676,0.6502357483172236,0.07396321798627802,0.03314494942640956,0.11478148654614646,0.06413972109994807,-0.181794306177015,0.23848643925075405,0.028346066536869524,0.01346150113205974,0.04323063194167931,0.023388838072790415
Herbivores,-1.797519857213092,2.1112452138475457,0.156862678317227,0.018430761116211447,0.2952945955182425,0.2175247719677617,-1.5157219934964576,1.2929163308523157,-0.11140283132207104,-0.21087291481274928,-0.0119327478313928,0.15630215680322362,-0.28629403991247365,0.2341524978311293,-0.02607077104067217,-0.044502784914795326,-0.007638757166549012,0.02896311555848225,-1.8115822374863138,1.547291394309851,-0.1321454215882314,-0.25110251111198495,-0.013188332064477875,0.18692303260546964,-0.08992022712048778,0.12214529733063445,0.016112535105073336,0.0086020716752408,0.023622998534905872,0.01180155471352925,-0.8391983200629115,0.7086659238139076,-0.065266198124502,-0.12008499919115845,-0.010447397057845555,0.08613943549055361
Decomposers,-0.17741113620678978,0.4475451444851463,0.13506700413917827,0.048970814711139704,0.25906845318591376,0.12578937909436394,-0.3451173102296101,0.5597954886609569,0.10733908921567335,-0.060792412267918816,0.26643883504102756,0.18213821130169208,-0.3171655333969016,0.5604178309839822,0.12162614879354032,-0.03930497000031846,0.27851492923654114,0.17663742235983695,-0.3834326825653257,0.24452137183018186,-0.06945565536757192,-0.19370671033570117,0.005227460565360751,0.12639276225009471,-0.19667989527263485,0.43026322649676085,0.11679166561206299,-0.007176707878304142,0.19060172129660052,0.12618928467690504,-0.2206121291032377,0.20745159607121116,-0.006580266516013261,-0.061670182562652394,0.07840279015419492,0.08615941925233163
Omnivores,-1.1707194194319561,1.3909121561692632,0.11009636836865348,0.01937421860360973,0.20081851813369725,0.14255610511707553,-0.012727749900708763,0.043671821275553545,0.01547203568742239,0.01347460155533561,0.01746946981950917,0.00313866493282673,-0.720425377633473,0.8363956641189503,0.05798514324273858,0.0028491302998602057,0.11312115618561697,0.08663788586555235,-0.10092244339657766,0.17454556122659928,0.036811558915010804,0.027055647952273637,0.04656746987774797,0.015329935107563626,-0.2490105772455066,0.2230746261656367,-0.01296797553993496,-0.029687235613731846,0.003751284533861928,0.026271782610229506,-0.5938503142187072,0.46690319129987146,-0.06347356145941783,-0.10104096159144713,-0.02590616132738855,0.059031474188680697
Carnivores,-1.2979906886265251,1.154400987508931,-0.0717948505587972,-0.15864818538025355,0.015058484262659159,0.1364768489353722,-0.10769891176148078,0.2502176936599996,0.0712593909492594,0.058583499462864605,0.08393528243565421,0.01991824183914354,-0.7440416555865927,1.1410013544955326,0.1984798494544699,0.13171960340539396,0.2652400955035458,0.10490360598885334,-0.4940473737339053,0.6405903538944613,0.07327149008027797,0.0330874234738964,0.11345555668665956,0.06314316887338736,-0.6595563252017527,0.509824887061779,-0.07486571906998683,-0.11628025287018849,-0.03345118526978519,0.06507666153289349,-0.8276188200457208,0.6453031304233774,-0.09115784481117171,-0.1433225069957856,-0.0389931826265578,0.08196885859787992
1,-0.35077978951714517,0.7602284771858416,0.20472434383434823,0.033057558603080385,0.4223470699877069,0.2236205065137406,-0.2176318544057797,0.3043687165188692,0.04336843105654474,-0.035433556895680784,0.146053759790415,0.10506675383886949,-0.6846670905185974,0.6917340900554567,0.0035334997684296834,-0.22910724010581682,0.2653193794816388,0.2770380188794441,-0.5476240981369707,0.4725824906492702,-0.037520803743850216,-0.2070695752659476,0.15799760767596782,0.20534420937303843,-0.03843340061858419,0.18690828968736328,0.07423744453438955,0.03322721739084302,0.11486375451057992,0.0453561187932635,-0.01733833420189844,0.06836664906037662,0.02551415742923909,0.012611928399770612,0.04238105920939017,0.01725044929209804
2,-0.03129928285753447,0.31886983047832995,0.14378527381039774,0.011523805449680463,0.3043133556903246,0.14100799968527383,-0.21915514256959198,0.2588397845707432,0.019842321000575598,-0.1937215774933277,0.25019469751412116,0.19248159237596477,-0.12309869894355178,0.24819346066326242,0.06254738085985533,-0.05557243443521774,0.26172448352872485,0.14951394263824144,-0.26066241036972226,0.07159928665805086,-0.09453156185583571,-0.25453203439099475,0.004797263403796263,0.13379694406394763,-0.05392902632082151,0.20696905313935576,0.07652001340926713,-0.021576572329411976,0.19036224174527566,0.10505985509670968,-0.13092740189484486,0.07081812357602735,-0.030054639159408758,-0.11355004994786094,0.07320095213773979,0.08123998350710199
3,-0.22741625403845858,0.26571777184831485,0.019150758904928147,-0.14165967556745124,0.18297027166676433,0.1549543899823352,-0.011130807504635923,0.09786223414131771,0.043365713318340895,0.01391847580691045,0.08111841766089979,0.0342481950017495,-0.051441078038836185,0.30790607073604465,0.12823249634860423,0.015101577620499828,0.2504044852704178,0.11291538467696029,-0.013408161312142355,0.12349121030743114,0.05504152449764439,0.02636928824615218,0.10738010402752668,0.043017024793877624,-0.12988467709426887,0.04205098248434706,-0.0439168473049609,-0.107481327252969,4.4019752251014e-4,0.05402625624606988,-0.17353769331223695,0.018906287041647388,-0.07731570313529477,-0.14253306106032668,-0.02345177125116205,0.06047045633869018
AG,-0.04540011797801091,0.39373436472073853,0.1741671233713638,-0.12090440064889846,0.37135807078702077,0.20922411342075,-0.1265263969893472,0.2286274769800642,0.0510505399953585,-0.1631306936263981,0.25232579123448096,0.16921184133055214,0.032971997533249336,0.31730667062592854,0.17513933407958893,-0.005101244880789231,0.2981010278280577,0.13547027672933867,-0.23162458360794075,0.044367755788895666,-0.09362841390952255,-0.2536865147761752,0.027959809849549537,0.13149560054211218,-0.13251423255727116,0.15467033942405314,0.011078053433390992,-0.16190467830294678,0.17116401643087384,0.13682810124963402,-0.119616325497185,0.06382788594259632,-0.027894219777294338,-0.12093576210600836,0.08743849204661441,0.08740136339278681
BG,-0.02205953753012338,0.21130040147871265,0.09462043197429464,0.004922799810183806,0.2936377879438255,0.1261615460920014,-0.05071697102057527,0.07784148237106356,0.01356225567524414,-0.06875460961231103,0.10977223255611873,0.06950264604959262,-0.1727451134242669,0.1647603421687014,-0.003992385627782769,-0.24359353965370675,0.2290808057939351,0.18246580913993948,-0.11299826060849451,0.13618549865581037,0.011593619023657927,-0.17315230375225174,0.17831558360634692,0.13471638903972896,-0.06455047361057889,0.11999523854251654,0.027722382465968823,-0.09329109021973823,0.1668959840159016,0.09977107668425637,-0.08647432764041317,0.051572613605057924,-0.017450857017677623,-0.12329690881714475,0.06835550463325119,0.07463241383578205
